"id","type","boatClass","make","model","year","condition","length_ft","beam_ft","dryWeight_lb","hullMaterial","fuelType","numEngines","totalHP","maxEngineYear","minEngineYear","engineCategory","price","sellerId","city","state","zip","created_date","created_month","created_year"
6747355,"power","power-runabout","Tahoe","550 TS",2018,"new",19.83,7.83,2395,"fiberglass","",1,150,NA,NA,"outboard",31925,155589,"Hammond","IN","46324","2018-06-15",6,2018
6543157,"power","power-expresscruiser","Azimut","Atlantis 50",2012,"used",50,14.17,NA,"fiberglass","diesel",2,1150,NA,NA,"inboard",469000,63935,"Miami","FL","33139","2017-11-27",11,2017
7099190,"power","power-runabout","Maxum","1800 MX",2009,"used",18,7,1991,"fiberglass","gasoline",1,135,2009,2009,"inboard-outboard",12900,42576,"Knoxville","TN","37922","2019-05-31",5,2019
7122443,"power","power-bay","Sportsman","Masters 207 Bay Boat",2020,"new",20,8,NA,"fiberglass","other",1,0,NA,NA,"",41472,5092,"West Palm Beach","FL",NA,"2019-06-20",6,2019
7170193,"power","power-pontoon","Bennington","24RSRX1 - 10 WIDE",2019,"new",1,120,NA,"other","other",1,0,NA,NA,NA,74596,27369,"Red Wing","MN",NA,"2019-08-05",8,2019
7207881,"power","power-pontoon","Manitou","23 Aurora LE VP",2019,"used",23,NA,NA,"other","other",1,0,NA,NA,"",39999,34588,"Johnson City","TN",NA,"2019-09-06",9,2019
6791674,"power","power-pwc","Sea-Doo","RXP-X 300",2018,"used",11.6,4,850,"fiberglass","gasoline",1,300,NA,NA,"",13999,62469,"Gaylord","MI","49735","2018-07-31",7,2018
6877167,"power","power-pwc","Sea-Doo","RXT-X 300",2019,"new",11.6,4,914,"fiberglass","gasoline",1,300,NA,NA,"",16599,35202,"Hampton Bays","NY","11946","2018-10-16",10,2018
7130639,"power","power-center","Sea Hunt","Ultra 225",2015,"used",22.42,8.5,NA,"fiberglass","gasoline",1,200,NA,NA,"outboard-4s",54900,34516,"Chattanooga","TN","37416","2019-06-27",6,2019
7108249,"power","power-jon","Tracker","Grizzly 1648 SC",2019,"new",16.08,6,715,"aluminum","",1,40,NA,NA,"outboard",13404,1029,"Piedmont","SC","29673","2019-06-10",6,2019
6855924,"power","power-pwc","Yamaha WaveRunner","EX Deluxe",2019,"new",10.3,3.67,NA,"fiberglass","gasoline",1,0,NA,NA,"outboard-4s",8799,34979,"Gallatin","MO","64640","2018-09-26",9,2018
6774572,"power","power-bass","Triton","18 C TX",2018,"new",18.67,7.67,1080,"aluminum","gasoline",1,115,2018,2018,"outboard-4s",28200,102570,"Brandon","MS","39047","2018-07-13",7,2018
6525942,"power","power-skiff","Mako","Pro Skiff 19 CC",2018,"new",19.33,7.75,1350,"fiberglass","",1,115,NA,NA,"outboard",25260,155481,"Gainesville","VA","20155","2017-11-09",11,2017
7260628,"power","power-runabout","Four Winns","Horizon",1997,"used",17,NA,NA,"fiberglass","other",1,0,NA,NA,"",4999,53226,"Prairie Grove","IL",NA,"2019-10-23",10,2019
6955148,"power","power-center","Robalo","R222 Center Console",2019,"new",21.5,8.5,3700,"fiberglass","gasoline",1,2019,2019,2019,"outboard",62865,5157,"Islip Terrace","NY","11752","2019-01-12",1,2019
6985357,"power","power-motor","Sunseeker","76 Yacht",2019,"new",76,19.5,118140,"fiberglass","diesel",1,0,NA,NA,"inboard",1483185,33396,"Miami","FL","33180","2019-02-11",2,2019
7229278,"power","power-cruiser","Trojan","Tri Cabin",1986,"used",36,13,NA,"fiberglass","gasoline",2,0,NA,NA,"",32000,5777,"Harrison Township","MI","48045","2019-09-25",9,2019
6908465,"power","power-fresh","Lund","1775 Pro Guide",2019,"new",17,NA,NA,"aluminum","other",1,0,NA,NA,"",35582,5525,"Nekoosa","WI",NA,"2018-11-12",11,2018
6968431,"power","power-runabout","Tahoe","450 TS",2019,"new",18.42,7.83,2270,"fiberglass","gasoline",1,90,2019,2019,"outboard",25990,56482,"New Bern","NC","28560","2019-01-25",1,2019
7038131,"power","power-pwc","Sea-Doo","GTX 155",2019,"new",10,4,NA,"fiberglass","gasoline",1,155,NA,NA,"inboard",12799,35079,"Grand Island","NY","14072","2019-04-03",4,2019
